,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
1,0.026606,0.462385,-0.09633,0.475893,0.125772,1.263778,1.97107,-15.245223,-4.227912,
2,0.024771,0.46055,-0.093578,0.472954,0.128168,1.258364,7.573038,-15.37111,-2.843156,
3,0.024771,0.46055,-0.093578,0.479902,0.118049,1.281914,12.797346,-15.056393,-1.269569,
4,0.024771,0.46055,-0.093578,0.476161,0.109262,1.290035,17.95871,-15.18228,-0.388361,
5,0.024771,0.46055,-0.093578,0.482039,0.106333,1.324954,20.979997,-15.811714,0.933452,
6,0.024771,0.46055,-0.093578,0.487651,0.104469,1.334428,22.553583,-16.944697,1.814661,
7,0.024771,0.46055,-0.093578,0.503684,0.102073,1.341737,23.308905,-18.518283,2.318208,
8,0.052294,0.448624,-0.095413,0.512235,0.095682,1.330909,23.371848,-18.707114,1.62583,
9,0.052294,0.448624,-0.095413,0.523993,0.090623,1.345527,20.665279,-18.266509,-0.451304,
10,0.051376,0.447706,-0.1,0.545103,0.061598,1.37422,13.04912,-18.707114,-2.969043,
11,0.051376,0.447706,-0.1,0.567549,0.039497,1.392627,2.1599,-20.721304,-5.927386,
12,0.051376,0.447706,-0.1,0.587857,0.018727,1.412387,-9.29581,-22.987269,-8.696898,
13,0.052294,0.448624,-0.102752,0.591064,0.015798,1.410763,-22.639825,-26.008556,-11.214637,
14,0.052294,0.448624,-0.102752,0.588659,0.015265,1.380716,-34.72497,-29.659277,-15.054188,
15,0.052294,0.448624,-0.102752,0.583047,0.015798,1.347421,-43.599999,-32.99528,-18.264305,
16,0.048624,0.447706,-0.1,0.568351,0.025916,1.307089,-47.817211,-34.44298,-20.90793,
17,0.048624,0.447706,-0.1,0.555791,0.020591,1.300051,-50.209063,-35.638906,-23.614499,
18,0.043119,0.450459,-0.098165,0.543499,0.001419,1.28002,-54.237445,-37.023662,-26.824616,
19,0.043119,0.450459,-0.098165,0.534948,-0.013227,1.275959,-61.853604,-38.974909,-31.167715,
20,0.043119,0.450459,-0.098165,0.545637,-0.029204,1.271628,-75.260562,-40.9891,-38.469157,
