,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
1,-0.275229,0.249541,-0.161468,0.062972,-0.265697,0.961365,-0.03242,-0.106376,1.410722,
2,-0.275229,0.249541,-0.161468,0.065898,-0.264896,0.962436,-0.410081,-0.295206,1.096004,
3,-0.275229,0.249541,-0.161468,0.056854,-0.257681,0.955741,-0.347137,-0.421093,1.096004,
4,-0.278899,0.257798,-0.151376,0.064302,-0.266766,0.954938,-0.850685,-0.232263,1.347778,
5,-0.278899,0.257798,-0.151376,0.052066,-0.268102,0.961633,-1.165402,0.145398,1.347778,
6,-0.278899,0.257798,-0.151376,0.05845,-0.269171,0.966185,-1.354233,-0.169319,1.410722,
7,-0.278899,0.257798,-0.151376,0.060312,-0.264094,0.958687,-1.039515,-0.169319,1.033061,
8,-0.278899,0.257798,-0.151376,0.061908,-0.274516,0.957883,-1.480119,0.019511,1.221891,
9,-0.276147,0.259633,-0.155046,0.058982,-0.264361,0.949046,-1.543063,-0.295206,1.473665,
10,-0.276147,0.259633,-0.155046,0.053928,-0.266499,0.950117,-1.920724,-0.54698,1.410722,
11,-0.276147,0.259633,-0.155046,0.058184,-0.262491,0.956544,-2.738989,-1.113471,1.536609,
12,-0.278899,0.26055,-0.153211,0.058184,-0.258215,0.954402,-3.431367,-0.421093,0.781287,
13,-0.278899,0.26055,-0.153211,0.059248,-0.239242,0.966453,-4.627293,0.334229,1.599552,
14,-0.277982,0.26055,-0.155963,0.061642,-0.242182,0.964043,-4.94201,-1.491132,1.788382,
15,-0.277982,0.26055,-0.155963,0.054726,-0.242716,0.972613,-3.809028,-2.498227,1.599552,
16,-0.277982,0.26055,-0.155963,0.05978,-0.251802,0.955741,-3.368423,-1.491132,0.844231,
17,-0.280734,0.259633,-0.156881,0.046746,-0.247259,0.953063,-2.298385,-1.742906,1.914269,
18,-0.280734,0.259633,-0.156881,0.058184,-0.258749,0.967256,-2.676045,-2.37234,1.788382,
19,-0.280734,0.259633,-0.156881,0.052864,-0.252069,0.957883,-3.557254,-2.938832,1.725439,
20,-0.277982,0.263303,-0.155046,0.048076,-0.249664,0.971274,-3.871971,-2.435284,1.599552,
21,-0.277982,0.263303,-0.155046,0.056588,-0.249931,0.973148,-3.746084,-2.120567,1.914269,
22,-0.277982,0.262385,-0.155046,0.053396,-0.249931,0.971541,-3.620197,-1.868793,1.725439,
23,-0.277982,0.262385,-0.155046,0.05446,-0.251534,0.976094,-3.11665,-1.302302,1.851326,
24,-0.277982,0.262385,-0.155046,0.046746,-0.252069,0.977969,-2.487215,-0.73581,1.410722,
25,-0.278899,0.261468,-0.155046,0.060312,-0.259818,0.98627,-2.046611,-0.924641,1.096004,
26,-0.278899,0.261468,-0.155046,0.05313,-0.264361,0.981986,-1.794837,-0.54698,1.158948,
27,-0.279817,0.263303,-0.154128,0.049406,-0.254207,0.980111,-1.543063,-0.35815,1.221891,
28,-0.279817,0.263303,-0.154128,0.045683,-0.253672,0.975558,-1.543063,-0.295206,1.096004,
29,-0.279817,0.263303,-0.154128,0.050204,-0.251534,0.979575,-1.983667,-0.54698,0.529513,
30,-0.277982,0.26422,-0.153211,0.057652,-0.254474,0.961365,-2.235441,-0.672867,0.529513,
31,-0.277982,0.26422,-0.153211,0.057918,-0.247793,0.972345,-2.487215,-0.987584,0.277739,
32,-0.277982,0.26422,-0.153211,0.052332,-0.242182,0.977165,-2.235441,-0.987584,0.529513,
33,-0.281651,0.265138,-0.155963,0.05712,-0.237104,0.978236,-2.109554,-1.302302,0.6554,
34,-0.281651,0.265138,-0.155963,0.05712,-0.243251,0.969131,-2.235441,-1.679962,0.844231,
35,-0.281651,0.26422,-0.155046,0.05047,-0.232562,0.968328,-1.794837,-2.309397,0.592457,
36,-0.281651,0.26422,-0.155046,0.046214,-0.230691,0.970738,-1.228346,-1.868793,0.6554,
37,-0.281651,0.26422,-0.155046,0.046214,-0.232294,0.991894,-1.228346,-2.18351,0.844231,
38,-0.277064,0.26422,-0.155046,0.054194,-0.244052,0.975023,-1.228346,-2.435284,1.410722,
39,-0.277064,0.26422,-0.155046,0.045151,-0.238975,0.974755,-1.228346,-2.057623,1.347778,
40,-0.277064,0.26422,-0.155046,0.047278,-0.240846,0.988145,-1.66895,-1.805849,1.473665,
41,-0.279817,0.263303,-0.151376,0.048608,-0.256344,0.984128,-1.291289,-1.491132,1.788382,
42,-0.279817,0.263303,-0.151376,0.046746,-0.248862,0.985735,-1.983667,-1.617019,1.788382,
43,-0.279817,0.263303,-0.151376,0.039033,-0.244587,0.984128,-1.543063,-1.050528,1.410722,
44,-0.279817,0.263303,-0.151376,0.043289,-0.248061,0.978772,-1.417176,-1.302302,1.725439,
45,-0.279817,0.263303,-0.151376,0.036905,-0.253138,0.978772,-1.66895,-1.554075,1.284835,
46,-0.277982,0.26422,-0.154128,0.044885,-0.248595,0.990823,-1.543063,-0.987584,1.347778,
47,-0.277982,0.26422,-0.154128,0.031851,-0.248862,0.994572,-1.920724,-0.987584,1.096004,
48,-0.278899,0.26422,-0.153211,0.036639,-0.250198,0.988948,-1.417176,-0.861697,1.096004,
