,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
1,-0.192661,0.422936,-0.107339,-0.455625,0.290067,1.101635,-249.173357,56.258554,24.411365,
2,-0.192661,0.422936,-0.107339,-0.47433,0.422941,1.277313,-225.506614,78.855258,9.367876,
3,-0.230275,0.414679,-0.081651,-0.427835,0.550223,1.420237,-190.006499,101.451962,0.429904,
4,-0.230275,0.414679,-0.081651,-0.331904,0.633302,1.470585,-148.212038,118.761415,0.304017,
5,-0.230275,0.414679,-0.081651,-0.235438,0.62132,1.50794,-107.361729,128.832369,6.53542,
6,-0.230275,0.414679,-0.081651,-0.177987,0.60268,1.51958,-70.413915,129.084143,10.626746,
7,-0.230275,0.414679,-0.081651,-0.123474,0.5662,1.542589,-38.438635,121.719758,11.570898,
8,-0.222018,0.437615,-0.072477,-0.098356,0.528654,1.55883,-8.351658,111.648803,10.500859,
9,-0.222018,0.437615,-0.072477,-0.091676,0.49457,1.561537,18.776975,99.878375,9.241989,
10,-0.222018,0.437615,-0.072477,-0.123474,0.449835,1.536904,42.884322,89.42976,6.787194,
11,-0.215596,0.440367,-0.072477,-0.129888,0.402703,1.545566,63.278005,81.687714,2.192321,
12,-0.215596,0.440367,-0.072477,-0.121871,0.356903,1.499008,80.209797,77.596388,-2.339608,
13,-0.215596,0.440367,-0.072477,-0.09408,0.317227,1.456239,92.546717,72.749742,-7.123311,
14,-0.210092,0.440367,-0.080734,-0.03556,0.27622,1.398311,101.044084,65.4483,-11.340524,
15,-0.210092,0.440367,-0.080734,0.049148,0.220035,1.347692,106.77194,54.496137,-14.676527,
16,-0.202752,0.436697,-0.084404,0.109806,0.180892,1.301675,109.415565,39.704422,-17.508983,
17,-0.202752,0.436697,-0.084404,0.177679,0.149471,1.250785,112.122134,19.877231,-19.837891,
18,-0.202752,0.436697,-0.084404,0.206271,0.124706,1.18988,113.884551,-2.278869,-19.900835,
19,-0.20367,0.429358,-0.093578,0.226313,0.085031,1.156314,113.066286,-25.630895,-19.712005,
20,-0.20367,0.429358,-0.093578,0.216426,0.058669,1.10353,110.23383,-48.79409,-19.208457,
21,-0.20367,0.429358,-0.093578,0.195048,0.023254,1.082957,105.072466,-70.572529,-18.327248,
22,-0.201835,0.422018,-0.101835,0.168594,0.002484,1.033963,99.533441,-88.700247,-17.194266,
23,-0.201835,0.422018,-0.101835,0.133054,-0.0087,0.98199,93.742642,-102.799583,-15.054188,
24,-0.208257,0.415596,-0.101835,0.08923,-0.020416,0.889414,86.818861,-115.388276,-12.91411,
25,-0.208257,0.415596,-0.101835,0.05663,-0.033997,0.798192,78.06972,-127.662252,-11.08875,
26,-0.208257,0.415596,-0.101835,0.047812,-0.052104,0.697766,65.35514,-139.24385,-8.759842,
27,-0.213761,0.406422,-0.1,0.00479,-0.075004,0.610062,50.437538,-148.433596,-5.172064,
28,-0.213761,0.406422,-0.1,-0.05667,-0.086188,0.571624,37.974732,-153.720847,-2.528439,
29,-0.213761,0.406422,-0.1,-0.124276,-0.074738,0.513697,26.141361,-154.790886,-0.451304,
30,-0.221101,0.4,-0.099083,-0.165695,-0.056364,0.427347,12.419685,-149.692465,4.773003,
31,-0.221101,0.4,-0.099083,-0.22475,-0.072341,0.354802,-6.715128,-138.677359,14.906901,
32,-0.233028,0.398165,-0.092661,-0.320948,-0.129059,0.297416,-31.514854,-124.829796,24.222534,
33,-0.233028,0.398165,-0.092661,-0.40619,-0.192167,0.259519,-59.713526,-107.520343,30.894542,
34,-0.233028,0.398165,-0.092661,-0.466848,-0.232908,0.260602,-90.052276,-79.636388,36.49651,
35,-0.241284,0.401835,-0.086239,-0.468184,-0.218795,0.298228,-123.664087,-40.674383,41.343157,
