,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
index,Geomagnetism_X,Geomagnetism_Y,Geomagnetism_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_velocity_X,Angular_velocity_Y,Angular_velocity_Z, 
1,-0.148624,0.349541,-0.088073,-0.222971,0.396212,0.958419,-202.647435,53.899118,-49.132881,
2,-0.148624,0.349541,-0.088073,-0.092634,0.403695,1.089374,-183.13496,76.306991,-56.182549,
3,-0.145872,0.351376,-0.089908,0.05313,0.397281,1.207742,-161.167691,89.90278,-55.238397,
4,-0.145872,0.351376,-0.089908,0.191181,0.376705,1.338697,-137.752722,98.903695,-46.803973,
5,-0.190826,0.346789,-0.070642,0.253158,0.399419,1.471794,-111.631184,105.135098,-34.089393,
6,-0.190826,0.346789,-0.070642,0.313272,0.429081,1.556687,-84.061946,109.729971,-22.130134,
7,-0.190826,0.346789,-0.070642,0.377909,0.42534,1.623637,-56.052104,113.065975,-12.122123,
8,-0.186239,0.355046,-0.069725,0.421798,0.409841,1.656844,-28.042262,114.010127,-2.680604,
9,-0.186239,0.355046,-0.069725,0.434831,0.40129,1.691123,-2.235441,111.177671,4.369065,
10,-0.186239,0.355046,-0.069725,0.429245,0.369757,1.67934,21.242471,104.568607,8.775107,
11,-0.177064,0.363303,-0.069725,0.405572,0.34063,1.618817,41.19555,98.022487,11.796393,
12,-0.177064,0.363303,-0.069725,0.412222,0.303486,1.596589,58.945607,94.308822,14.565906,
13,-0.170642,0.366055,-0.069725,0.436959,0.262601,1.58427,72.919057,90.972819,17.776023,
14,-0.170642,0.366055,-0.069725,0.488296,0.228664,1.547849,83.997106,83.293716,20.482592,
15,-0.170642,0.366055,-0.069725,0.554262,0.209424,1.53071,92.746248,70.516192,22.307952,
16,-0.163303,0.36055,-0.076147,0.618899,0.169341,1.498038,99.670029,51.570209,22.62267,
17,-0.163303,0.36055,-0.076147,0.666246,0.135136,1.439122,105.146111,31.617131,22.8115,
18,-0.156881,0.354128,-0.081651,0.678747,0.108414,1.41502,109.048606,10.656957,23.063274,
19,-0.156881,0.354128,-0.081651,0.677949,0.084097,1.352354,111.755175,-11.436199,22.496783,
20,-0.156881,0.354128,-0.081651,0.650552,0.056038,1.305489,111.440457,-33.088752,22.245009,
21,-0.155963,0.346789,-0.088073,0.628741,0.02611,1.25059,109.615097,-54.048926,21.552631,
22,-0.155963,0.346789,-0.088073,0.589906,0.000456,1.187121,106.279093,-72.554304,21.049083,
23,-0.155963,0.346789,-0.088073,0.544687,-0.018517,1.100889,102.061881,-89.926701,20.104931,
24,-0.154128,0.340367,-0.090826,0.49335,-0.031076,1.004749,96.145195,-108.935627,19.349609,
25,-0.154128,0.340367,-0.090826,0.426851,-0.04898,0.897896,86.766619,-127.69278,17.964853,
26,-0.161468,0.333028,-0.091743,0.340138,-0.071159,0.764263,74.492643,-142.862155,16.831871,
27,-0.161468,0.333028,-0.091743,0.25236,-0.083452,0.62822,62.407498,-153.184883,13.244093,
28,-0.161468,0.333028,-0.091743,0.181605,-0.112579,0.520564,49.00054,-156.395,9.845146,
29,-0.166972,0.324771,-0.092661,0.094359,-0.149456,0.380772,32.698182,-158.157417,6.068538,
30,-0.166972,0.324771,-0.092661,0.015625,-0.194616,0.25196,12.052726,-157.905643,3.991404,
31,-0.166972,0.324771,-0.092661,-0.063375,-0.254741,0.129039,-14.068813,-151.800127,4.369065,
32,-0.180734,0.320183,-0.089908,-0.18919,-0.296695,0.047895,-43.211637,-141.666229,6.760916,
33,-0.180734,0.320183,-0.089908,-0.295853,-0.312996,-0.001648,-72.920953,-129.14048,7.01269,
34,-0.194495,0.318349,-0.084404,-0.387089,-0.314064,-0.065385,-103.259703,-104.844302,4.557895,
35,-0.194495,0.318349,-0.084404,-0.431776,-0.270507,-0.03673,-131.458375,-70.351283,2.417817,
36,-0.194495,0.318349,-0.084404,-0.416615,-0.20771,-0.011557,-156.887535,-33.403469,-0.162865,
37,-0.202752,0.322018,-0.078899,-0.345594,-0.127543,0.069319,-181.183713,0.837776,-2.114112,
38,-0.202752,0.322018,-0.078899,-0.28282,-0.036688,0.207237,-199.059657,31.617131,-3.184151,
39,-0.20367,0.333028,-0.070642,-0.263934,0.070736,0.342744,-209.885933,60.508181,-4.568908,
40,-0.20367,0.333028,-0.070642,-0.19451,0.166668,0.486554,-216.872658,85.119076,-8.660233,
41,-0.20367,0.333028,-0.070642,-0.137587,0.273023,0.664641,-216.809714,109.226424,-13.192162,
42,-0.205505,0.344037,-0.06422,-0.138385,0.380714,0.856922,-208.123516,128.864785,-20.430661,
43,-0.205505,0.344037,-0.06422,-0.055927,0.460079,1.018674,-194.401841,141.831139,-32.515806,
44,-0.205505,0.344037,-0.06422,0.128673,0.4542,1.154182,-178.917748,150.58028,-39.628418,
45,-0.19633,0.363303,-0.061468,0.301568,0.423736,1.330663,-160.475313,153.85334,-36.04064,
46,-0.19633,0.363303,-0.061468,0.427383,0.428546,1.495092,-139.766913,151.146771,-26.032629,
47,-0.189908,0.372477,-0.058716,0.522875,0.477715,1.624173,-117.044322,139.942835,-15.709901,
48,-0.189908,0.372477,-0.058716,0.628475,0.499895,1.716296,-92.49637,125.214064,-4.380077,
49,-0.189908,0.372477,-0.058716,0.684067,0.515661,1.801457,-66.626606,108.911706,5.753821,
50,-0.182569,0.385321,-0.055963,0.684599,0.53303,1.871621,-40.568011,87.636815,14.565906,
51,-0.182569,0.385321,-0.055963,0.63672,0.543719,1.886885,-13.061717,64.410676,19.853157,
52,-0.182569,0.385321,-0.055963,0.546549,0.555477,1.882868,12.996878,44.772315,22.8115,
53,-0.173394,0.390826,-0.053211,0.465953,0.545857,1.847519,38.929585,30.484148,23.440935,
54,-0.173394,0.390826,-0.053211,0.405572,0.523677,1.800118,62.281611,23.308593,23.189161,
55,-0.16789,0.390826,-0.055046,0.39307,0.487335,1.742808,83.241785,17.07719,23.503878,
56,-0.16789,0.390826,-0.055046,0.41302,0.442175,1.70853,101.68422,8.957483,24.070369,
57,-0.16789,0.390826,-0.055046,0.423128,0.428814,1.651221,118.804843,-0.295206,24.070369,
58,-0.16422,0.388073,-0.059633,0.446269,0.400221,1.589091,132.02297,-10.114387,23.629765,
59,-0.16422,0.388073,-0.059633,0.464091,0.351052,1.524818,144.54872,-19.996511,23.692708,
60,-0.161468,0.380734,-0.065138,0.47473,0.303486,1.473133,154.367901,-30.382183,24.63686,
61,-0.161468,0.380734,-0.065138,0.463825,0.264739,1.409128,161.417569,-41.397289,25.140408,
62,-0.161468,0.380734,-0.065138,0.449195,0.23962,1.334412,166.578933,-52.223565,25.89573,
63,-0.163303,0.369725,-0.068807,0.430043,0.216105,1.267194,170.481428,-62.861011,26.147504,
64,-0.163303,0.369725,-0.068807,0.407966,0.180297,1.200243,172.747393,-74.190834,26.588108,
65,-0.163303,0.369725,-0.068807,0.369397,0.155712,1.139185,173.25094,-86.213036,25.958673,
66,-0.166972,0.36055,-0.073394,0.344925,0.115629,1.030458,173.376827,-97.983464,23.503878,
67,-0.166972,0.36055,-0.073394,0.309814,0.081157,0.903252,172.306788,-112.271631,20.923196,
68,-0.170642,0.349541,-0.076147,0.278161,0.01649,0.775511,165.571837,-126.496854,18.027797,
69,-0.170642,0.349541,-0.076147,0.24438,-0.058333,0.603583,153.99024,-139.903812,14.188245,
70,-0.170642,0.349541,-0.076147,0.211397,-0.135026,0.477716,136.240183,-153.436657,9.467485,
71,-0.178899,0.337615,-0.079817,0.16804,-0.198624,0.31891,115.217065,-166.906559,4.998499,
72,-0.178899,0.337615,-0.079817,0.090103,-0.273714,0.145375,88.151375,-178.047552,0.340683,
73,-0.178899,0.337615,-0.079817,0.015891,-0.364035,-0.011021,53.847187,-187.300242,-5.513059,
74,-0.188991,0.323853,-0.081651,-0.053533,-0.453554,-0.147867,13.752199,-190.006811,-9.793215,
75,-0.188991,0.323853,-0.081651,-0.175358,-0.501655,-0.22553,-30.937661,-185.474881,-10.296763,
76,-0.201835,0.315596,-0.077982,-0.291331,-0.524903,-0.28391,-79.40413,-178.36227,-10.989141,
77,-0.201835,0.315596,-0.077982,-0.374322,-0.513412,-0.320063,-129.192411,-163.570555,-12.877445,
78,-0.201835,0.315596,-0.077982,-0.470611,-0.438056,-0.317921,-174.574649,-130.839953,-13.318049,
79,-0.218349,0.312844,-0.070642,-0.502796,-0.303376,-0.269717,-212.340728,-91.500287,-16.96877,
80,-0.218349,0.312844,-0.070642,-0.463961,-0.155602,-0.164739,-245.323104,-51.468243,-19.675339,
81,-0.22844,0.324771,-0.059633,-0.421136,-0.030542,-0.017984,-268.171582,-15.527525,-19.234735,
82,-0.22844,0.324771,-0.059633,-0.440022,0.131128,0.185277,-278.809028,20.602024,-18.982961,
83,-0.22844,0.324771,-0.059633,-0.465025,0.294935,0.392823,-280.571445,56.605687,-23.389004,
84,-0.230275,0.341284,-0.050459,-0.515032,0.475845,0.616169,-267.479204,94.182935,-31.005163,
85,-0.230275,0.341284,-0.050459,-0.571157,0.625756,0.816217,-244.756613,128.04652,-44.600951,
86,-0.230275,0.341284,-0.050459,-0.483911,0.693898,0.994304,-220.334548,154.923379,-63.421048,
87,-0.229358,0.355046,-0.041284,-0.27218,0.667176,1.142398,-196.667805,175.128232,-73.869663,
88,-0.229358,0.355046,-0.041284,-0.022412,0.573648,1.290492,-173.630497,187.905755,-71.729585,
89,-0.225688,0.370642,-0.036697,0.187989,0.530358,1.454119,-151.096737,191.682363,-62.791613,
90,-0.225688,0.370642,-0.036697,0.364609,0.534099,1.634349,-125.164029,186.395112,-50.077033,
91,-0.225688,0.370642,-0.036697,0.542825,0.546926,1.762894,-96.398865,173.428758,-35.725923,
92,-0.216514,0.379817,-0.033028,0.688855,0.545055,1.859034,-68.074306,152.090923,-21.123039,
93,-0.216514,0.379817,-0.033028,0.755886,0.533565,1.920628,-40.882729,124.458742,-8.597289,
94,-0.216514,0.379817,-0.033028,0.762004,0.535702,1.933215,-15.768286,88.958628,2.354874,
95,-0.206422,0.389908,-0.037615,0.652148,0.563226,1.909113,7.143135,60.256408,14.565906,
96,-0.206422,0.389908,-0.037615,0.487498,0.581932,1.880726,32.949956,39.170347,20.986139,
97,-0.197248,0.390826,-0.040367,0.364609,0.581398,1.832522,56.616699,25.574558,22.245009,
98,-0.197248,0.390826,-0.040367,0.312474,0.543986,1.791013,78.961629,14.748282,20.104931,
99,-0.197248,0.390826,-0.040367,0.289067,0.514057,1.727008,99.921803,6.062084,18.09074,
100,-0.19633,0.388073,-0.042202,0.280289,0.48974,1.663807,117.545973,-1.679962,15.761832,
101,-0.19633,0.388073,-0.042202,0.283481,0.483861,1.640241,136.114296,-8.918461,12.488772,
102,-0.193578,0.387156,-0.045872,0.318592,0.454734,1.580521,153.297862,-17.038168,8.019786,
103,-0.193578,0.387156,-0.045872,0.366471,0.402359,1.510357,169.222558,-27.738557,3.865517,
104,-0.193578,0.387156,-0.045872,0.383228,0.347044,1.412342,182.125969,-39.697815,1.788382,
105,-0.193578,0.375229,-0.052294,0.377111,0.293599,1.328788,191.945149,-50.146431,1.410722,
106,-0.193578,0.375229,-0.052294,0.366471,0.255119,1.226756,198.931874,-60.091498,1.725439,
107,-0.193578,0.375229,-0.052294,0.346255,0.194994,1.107316,203.715577,-72.176644,1.033061,
108,-0.194495,0.361468,-0.058716,0.319922,0.121775,0.990287,206.29626,-84.702393,-0.288752,
109,-0.194495,0.361468,-0.058716,0.271245,0.037867,0.815145,202.645539,-96.158104,-4.191247,
110,-0.198165,0.348624,-0.06422,0.247572,-0.054057,0.656875,190.308619,-108.054419,-7.33842,
111,-0.198165,0.348624,-0.06422,0.193575,-0.138232,0.493516,172.117958,-115.104087,-7.464307,
112,-0.198165,0.348624,-0.06422,0.133194,-0.206374,0.343816,146.499967,-120.139564,-9.16378,
113,-0.206422,0.33578,-0.066055,0.098881,-0.296695,0.209647,115.720613,-126.182137,-11.052084,
114,-0.206422,0.33578,-0.066055,0.095423,-0.390223,0.058607,76.632721,-131.847049,-13.129219,
115,-0.206422,0.33578,-0.066055,0.068558,-0.470389,-0.042354,33.327617,-135.308939,-11.996236,
116,-0.215596,0.322018,-0.066972,-0.014964,-0.496845,-0.112785,-14.131756,-139.777925,-9.730272,
117,-0.215596,0.322018,-0.066972,-0.129607,-0.465579,-0.131264,-61.087581,-141.036795,-10.359706,
118,-0.223853,0.314679,-0.066055,-0.206214,-0.410799,-0.152152,-104.581516,-132.917088,-11.996236,
119,-0.223853,0.314679,-0.066055,-0.2908,-0.325288,-0.121355,-141.781104,-111.642196,-12.24801,
120,-0.223853,0.314679,-0.066055,-0.347988,-0.198892,-0.072883,-171.993967,-84.387676,-14.325145,
121,-0.23578,0.317431,-0.06055,-0.382035,-0.083719,-0.018252,-194.968332,-51.531187,-15.584014,
122,-0.23578,0.317431,-0.06055,-0.369268,0.010076,0.111096,-210.578311,-16.723451,-12.24801,
123,-0.242202,0.327523,-0.051376,-0.359426,0.100397,0.257048,-217.439149,18.52489,-7.086646,
124,-0.242202,0.327523,-0.051376,-0.36581,0.207821,0.446919,-217.753866,52.451418,-3.058264,
125,-0.242202,0.327523,-0.051376,-0.359692,0.322192,0.637593,-212.466615,84.615529,-2.239999,
126,-0.244037,0.338532,-0.042202,-0.297183,0.422935,0.818091,-199.500261,115.33194,-3.750642,
127,-0.244037,0.338532,-0.042202,-0.163389,0.441373,0.994037,-183.072017,141.831139,-2.554717,
128,-0.244037,0.338532,-0.042202,0.007113,0.431486,1.165429,-164.629582,160.525348,3.802573,
129,-0.240367,0.352294,-0.036697,0.132928,0.446183,1.336554,-144.298842,171.351624,15.510058,
130,-0.240367,0.352294,-0.036697,0.215386,0.490275,1.502591,-122.898064,173.491702,27.406373,
131,-0.22844,0.365138,-0.03211,0.289067,0.558951,1.627654,-96.461809,168.204451,34.015437,
132,-0.22844,0.365138,-0.03211,0.354501,0.596362,1.716832,-69.396119,157.944666,36.029628,
133,-0.22844,0.365138,-0.03211,0.414084,0.605982,1.781372,-43.526354,143.090008,35.085476,
134,-0.219266,0.373394,-0.038532,0.462229,0.581932,1.822345,-19.230177,122.948099,34.141324,
135,-0.219266,0.373394,-0.038532,0.48138,0.5504,1.853946,3.366527,101.987925,34.581928,
136,-0.219266,0.373394,-0.038532,0.476592,0.543452,1.854214,24.389645,82.09779,35.651967,
137,-0.207339,0.379817,-0.03945,0.463825,0.546926,1.830379,44.720384,64.536563,34.456041,
138,-0.207339,0.379817,-0.03945,0.449195,0.542383,1.80226,64.169915,47.352997,30.490603,
139,-0.2,0.379817,-0.041284,0.465687,0.516997,1.752985,82.42352,28.469958,25.077465,
140,-0.2,0.379817,-0.041284,0.456377,0.479586,1.711744,99.481199,10.090466,21.426744,
141,-0.2,0.379817,-0.041284,0.443077,0.461682,1.673716,114.713517,-8.037252,18.720175,
142,-0.195413,0.379817,-0.047706,0.419404,0.43496,1.61105,127.805758,-23.458401,16.076549,
143,-0.195413,0.379817,-0.047706,0.412754,0.407703,1.520266,140.772112,-35.41766,14.754736,
144,-0.192661,0.376147,-0.051376,0.378973,0.363879,1.464831,152.290766,-43.852084,16.139493,
145,-0.192661,0.376147,-0.051376,0.343063,0.332881,1.383419,160.976965,-51.090583,17.587192,
146,-0.192661,0.376147,-0.051376,0.309016,0.294935,1.299598,168.215463,-55.307795,19.916101,
147,-0.197248,0.366055,-0.055963,0.274969,0.267411,1.214973,173.880375,-59.21029,21.678518,
148,-0.197248,0.366055,-0.055963,0.231878,0.21851,1.144005,177.78287,-61.224481,22.937387,
149,-0.197248,0.366055,-0.055963,0.196235,0.173082,1.066075,178.915852,-62.48335,22.685613,
